frame, xcorr coeff
0, 31.000002
1, 30.994276
2, 30.986347
3, 30.976259
4, 30.964279
5, 30.950475
6, 30.935035
7, 30.918174
8, 30.900138
9, 30.881143
10, 30.861318
11, 30.840833
12, 30.819861
13, 30.798473
14, 30.776927
15, 30.755423
16, 30.734134
17, 30.713125
18, 30.692519
19, 30.672472
20, 30.653078
21, 30.634349
22, 30.616339
23, 30.599159
24, 30.582906
25, 30.567623
26, 30.553340
27, 30.540097
28, 30.527947
29, 30.516941
30, 30.507037
31, 30.498196
32, 30.490369
33, 30.483527
34, 30.477625
35, 30.472716
36, 30.468795
37, 30.465825
38, 30.463703
39, 30.462428
40, 30.461999
41, 30.462435
42, 30.463737
43, 30.465866
44, 30.468769
45, 30.472362
46, 30.476560
47, 30.481331
48, 30.486721
49, 30.492790
50, 30.499397
51, 30.506529
52, 30.514210
53, 30.522433
54, 30.531180
55, 30.540346
56, 30.549865
57, 30.559665
58, 30.569622
59, 30.579602
60, 30.589503
61, 30.599249
62, 30.608856
63, 30.618257
64, 30.627360
65, 30.635975
66, 30.643913
67, 30.651052
68, 30.657357
69, 30.662923
70, 30.667746
71, 30.671735
72, 30.674858
73, 30.677306
74, 30.679270
75, 30.680799
76, 30.681927
77, 30.682600
78, 30.682901
79, 30.682942
80, 30.682826
81, 30.682611
82, 30.682234
83, 30.681717
84, 30.681090
85, 30.680417
86, 30.679840
87, 30.679410
88, 30.679127
89, 30.678951
90, 30.678889
91, 30.678951
92, 30.679127
93, 30.679410
94, 30.679840
95, 30.680417
96, 30.681090
97, 30.681717
98, 30.682234
99, 30.682611
100, 30.682826
101, 30.682942
102, 30.682901
103, 30.682600
104, 30.681927
105, 30.680799
106, 30.679270
107, 30.677306
108, 30.674858
109, 30.671735
110, 30.667746
111, 30.662923
112, 30.657357
113, 30.651052
114, 30.643913
115, 30.635975
116, 30.627360
117, 30.618257
118, 30.608856
119, 30.599249
120, 30.589503
121, 30.579602
122, 30.569622
123, 30.559665
124, 30.549865
125, 30.540346
126, 30.531180
127, 30.522433
128, 30.514210
129, 30.506529
130, 30.499397
131, 30.492790
132, 30.486721
133, 30.481331
134, 30.476560
135, 30.472362
136, 30.468769
137, 30.465866
138, 30.463737
139, 30.462435
140, 30.461999
141, 30.462428
142, 30.463703
143, 30.465825
144, 30.468795
145, 30.472716
146, 30.477625
147, 30.483527
148, 30.490369
149, 30.498196
150, 30.507037
151, 30.516941
152, 30.527947
153, 30.540097
154, 30.553340
155, 30.567623
156, 30.582906
157, 30.599159
158, 30.616339
159, 30.634349
160, 30.653078
161, 30.672472
162, 30.692519
163, 30.713125
164, 30.734134
165, 30.755423
166, 30.776927
167, 30.798473
168, 30.819861
169, 30.840833
170, 30.861318
171, 30.881143
172, 30.900138
173, 30.918174
174, 30.935035
175, 30.950475
176, 30.964279
177, 30.976259
178, 30.986347
179, 30.994276
