frame, 1st diff
0, -0.005725
1, -0.005725
2, -0.007929
3, -0.010087
4, -0.011979
5, -0.013803
6, -0.015440
7, -0.016860
8, -0.018036
9, -0.018995
10, -0.019824
11, -0.020485
12, -0.020971
13, -0.021388
14, -0.021545
15, -0.021504
16, -0.021288
17, -0.021008
18, -0.020605
19, -0.020047
20, -0.019393
21, -0.018729
22, -0.018010
23, -0.017179
24, -0.016252
25, -0.015282
26, -0.014283
27, -0.013243
28, -0.012149
29, -0.011005
30, -0.009904
31, -0.008840
32, -0.007827
33, -0.006842
34, -0.005902
35, -0.004909
36, -0.003920
37, -0.002970
38, -0.002121
39, -0.001275
40, -0.000428
41, 0.000435
42, 0.001302
43, 0.002128
44, 0.002903
45, 0.003593
46, 0.004197
47, 0.004771
48, 0.005389
49, 0.006069
50, 0.006606
51, 0.007132
52, 0.007680
53, 0.008223
54, 0.008746
55, 0.009166
56, 0.009518
57, 0.009799
58, 0.009957
59, 0.009980
60, 0.009900
61, 0.009746
62, 0.009606
63, 0.009400
64, 0.009103
65, 0.008614
66, 0.007937
67, 0.007138
68, 0.006305
69, 0.005565
70, 0.004823
71, 0.003989
72, 0.003123
73, 0.002447
74, 0.001963
75, 0.001529
76, 0.001127
77, 0.000673
78, 0.000301
79, 0.000040
80, -0.000115
81, -0.000214
82, -0.000377
83, -0.000517
84, -0.000626
85, -0.000672
86, -0.000576
87, -0.000429
88, -0.000283
89, -0.000176
90, -0.000061
91, 0.000061
92, 0.000176
93, 0.000283
94, 0.000429
95, 0.000576
96, 0.000672
97, 0.000626
98, 0.000517
99, 0.000377
100, 0.000214
101, 0.000115
102, -0.000040
103, -0.000301
104, -0.000673
105, -0.001127
106, -0.001529
107, -0.001963
108, -0.002447
109, -0.003123
110, -0.003989
111, -0.004823
112, -0.005565
113, -0.006305
114, -0.007138
115, -0.007937
116, -0.008614
117, -0.009103
118, -0.009400
119, -0.009606
120, -0.009746
121, -0.009900
122, -0.009980
123, -0.009957
124, -0.009799
125, -0.009518
126, -0.009166
127, -0.008746
128, -0.008223
129, -0.007680
130, -0.007132
131, -0.006606
132, -0.006069
133, -0.005389
134, -0.004771
135, -0.004197
136, -0.003593
137, -0.002903
138, -0.002128
139, -0.001302
140, -0.000435
141, 0.000428
142, 0.001275
143, 0.002121
144, 0.002970
145, 0.003920
146, 0.004909
147, 0.005902
148, 0.006842
149, 0.007827
150, 0.008840
151, 0.009904
152, 0.011005
153, 0.012149
154, 0.013243
155, 0.014283
156, 0.015282
157, 0.016252
158, 0.017179
159, 0.018010
160, 0.018729
161, 0.019393
162, 0.020047
163, 0.020605
164, 0.021008
165, 0.021288
166, 0.021504
167, 0.021545
168, 0.021388
169, 0.020971
170, 0.020485
171, 0.019824
172, 0.018995
173, 0.018036
174, 0.016860
175, 0.015440
176, 0.013803
177, 0.011979
178, 0.010087
179, 0.007929
