frame, 2nd diff
0, 0.000000
1, 0.000000
2, -0.002204
3, -0.002158
4, -0.001891
5, -0.001824
6, -0.001636
7, -0.001419
8, -0.001175
9, -0.000958
10, -0.000828
11, -0.000660
12, -0.000486
13, -0.000416
14, -0.000157
15, 0.000041
16, 0.000215
17, 0.000280
18, 0.000402
19, 0.000558
20, 0.000654
21, 0.000663
22, 0.000719
23, 0.000830
24, 0.000927
25, 0.000970
26, 0.000998
27, 0.001040
28, 0.001093
29, 0.001143
30, 0.001101
31, 0.001063
32, 0.001013
33, 0.000984
34, 0.000940
35, 0.000992
36, 0.000988
37, 0.000950
38, 0.000848
39, 0.000846
40, 0.000846
41, 0.000864
42, 0.000867
43, 0.000825
44, 0.000774
45, 0.000690
46, 0.000603
47, 0.000573
48, 0.000618
49, 0.000680
50, 0.000536
51, 0.000526
52, 0.000547
53, 0.000543
54, 0.000523
55, 0.000419
56, 0.000352
57, 0.000280
58, 0.000157
59, 0.000023
60, -0.000079
61, -0.000154
62, -0.000139
63, -0.000205
64, -0.000297
65, -0.000488
66, -0.000676
67, -0.000799
68, -0.000833
69, -0.000739
70, -0.000742
71, -0.000833
72, -0.000865
73, -0.000675
74, -0.000484
75, -0.000433
76, -0.000401
77, -0.000454
78, -0.000371
79, -0.000261
80, -0.000155
81, -0.000099
82, -0.000162
83, -0.000139
84, -0.000109
85, -0.000045
86, 0.000095
87, 0.000147
88, 0.000146
89, 0.000107
90, 0.000114
91, 0.000122
92, 0.000114
93, 0.000107
94, 0.000146
95, 0.000147
96, 0.000095
97, -0.000045
98, -0.000109
99, -0.000139
100, -0.000162
101, -0.000099
102, -0.000155
103, -0.000261
104, -0.000371
105, -0.000454
106, -0.000401
107, -0.000433
108, -0.000484
109, -0.000675
110, -0.000865
111, -0.000833
112, -0.000742
113, -0.000739
114, -0.000833
115, -0.000799
116, -0.000676
117, -0.000488
118, -0.000297
119, -0.000205
120, -0.000139
121, -0.000154
122, -0.000079
123, 0.000023
124, 0.000157
125, 0.000280
126, 0.000352
127, 0.000419
128, 0.000523
129, 0.000543
130, 0.000547
131, 0.000526
132, 0.000536
133, 0.000680
134, 0.000618
135, 0.000573
136, 0.000603
137, 0.000690
138, 0.000774
139, 0.000825
140, 0.000867
141, 0.000864
142, 0.000846
143, 0.000846
144, 0.000848
145, 0.000950
146, 0.000988
147, 0.000992
148, 0.000940
149, 0.000984
150, 0.001013
151, 0.001063
152, 0.001101
153, 0.001143
154, 0.001093
155, 0.001040
156, 0.000998
157, 0.000970
158, 0.000927
159, 0.000830
160, 0.000719
161, 0.000663
162, 0.000654
163, 0.000558
164, 0.000402
165, 0.000280
166, 0.000215
167, 0.000041
168, -0.000157
169, -0.000416
170, -0.000486
171, -0.000660
172, -0.000828
173, -0.000958
174, -0.001175
175, -0.001419
176, -0.001636
177, -0.001824
178, -0.001891
179, -0.002158
